Course Sections Id,Sec Name,Sec Short Title,Sec Min Cred,Sec Max Cred,Faculty First Initial & Last CSV,Sec Start Date,Sec End Date,Sec Status,Sec Printed Comments,Sec Meeting Info,Crs Desc,Course Types CSV,Corequisite,Prerequisite
99078,MUS-380-A,Internship,1,3,,8/31/16 0:00,12/15/16 0:00,P,,,,JT2,,
98604,CHEM-344-A,Instr Methods: Spectro Tech,2,,J.Hedstrom,8/31/16 0:00,10/13/16 0:00,A,First seven weeks.,"08/31/2016-10/13/2016 Lecture - First 7 Weeks Monday, Wednesday, Friday 12:15PM - 01:15PM, Valders, Room 369","A detailed look at the instrumentation and applications of optical spectroscopy associated with chemical analyses. Topics will include molecular and atomic absorption, fluorescence, NMR, and IR spectrometries, as well as selected advanced spectroscopic techniques.",ENVMJ,,CHEM 241.
99485,COMS-463-A,Comm & Public Relation,4,,M.Johns,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Valders, Room 375",This course examines concepts of public relations practice in organizational systems with emphasis on communication theory and development of a problem-solving perspective. Students apply theory directly to practical public relations problems. Requires junior or senior status.,"PBK,HB",,
98633,COMS-395-A,Independent Study,1,4,,8/31/16 0:00,12/15/16 0:00,P,,,Used by the student who wishes to design a course of independent study not otherwise available in the curriculum. Requires a detailed proposal of study written in consultation with the instructor. Prerequisite of 12 semester hours in the department of study. ,"PBK,JT2",,12 hours in COMS.
98689,EDUC-326-A,Language Art Methods,4,,J.Meyer-Mork,8/31/16 0:00,12/15/16 0:00,A,Prerequisite: Admission to Teacher Education Program.Co-requisite Educ 325 and Math 123. Students may be moved to keep sections even.,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:15AM, Koren, Room 117","This course is an introduction to oral and written communication for the twenty-first century, the curriculum and pedagogy of a language arts program based on standards established by the International Reading Association and the National Council of Teachers of English, and the eight components of the language arts in the elementary classroom. It will include integration of the language arts (to include reading/literature, writing/grammar, speaking, viewing, listening and spelling), the use of technology in teaching language arts, and classroom management as it applies to language arts instruction.  The course utilizes a comprehensive approach that examines language acquisition and development.  It is also the writing-intensive course in the major.",,,Admission to Teacher Educ Program
98690,EDUC-326-B,Language Art Methods,4,,J.Meyer-Mork,8/31/16 0:00,12/15/16 0:00,A,Prerequisite: Admission to Teacher Education Program. Co-requisite Educ 325 amd Math 123. Students may be moved to keep sections even.,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Koren, Room 117","This course is an introduction to oral and written communication for the twenty-first century, the curriculum and pedagogy of a language arts program based on standards established by the International Reading Association and the National Council of Teachers of English, and the eight components of the language arts in the elementary classroom. It will include integration of the language arts (to include reading/literature, writing/grammar, speaking, viewing, listening and spelling), the use of technology in teaching language arts, and classroom management as it applies to language arts instruction.  The course utilizes a comprehensive approach that examines language acquisition and development.  It is also the writing-intensive course in the major.",,,Admission to Teacher Educ Program
99422,PSYC-353L-A,Social Psychology Lab,0,,E.Bossard,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lab Tuesday 08:00AM - 09:30AM, Valders, Room 350",,,Take PSYC-353,
99453,GER-470-A,Topics in German Lit & Culture,4,,E.Steding,8/31/16 0:00,12/15/16 0:00,A,From ABC to Abitur:School in German-Speaking Countries.,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Main, Room 211","Study in depth of a particular topic as seen through primary texts. The focus will vary each time, and may include topics such as women writers, social criticism, the environment, East and West, the Holocaust, German media. Significant practice in writing, including a research project. May be repeated for credit up to three times under three different topics. Offered on a rotating basis.","HEPT,W,PBK",,GER 202 and one German course at the 300 level.
99324,REL-241-B,Christian Ethics,4,,,8/31/16 0:00,12/15/16 0:00,A,"Course can only fulfill either REL or HEPT gen ed req, not both","08/31/2016-12/15/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Main, Room 112","An introduction to the biblical and theological sources of Christian ethics, types of moral theories, and methods of moral deliberation. Students develop a moral framework for a response to a variety of issues related to human sexuality, business, ecology, business, medicine, and war.","RP,PBK,REL,HEPT",,"REL 101, 111, or 112."
98509,ART-251-A,Survey of Western Art I,4,,K.Elliott,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 09:15AM - 10:15AM, Main, Room 113","This survey course will introduce students to the different styles and functions of art from the Paleolithic period to the Gothic age, giving students the background and tools for understanding the visual culture of each period against the cultural background of their times. Attention is paid to the analysis of the art objects alongside historical texts to allow for a historical interpretation of the past.","HEPT,FA,PBK,W,HIST",,
99500,BIO-251-A,Entomology,4,,K.Larsen,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 01:30PM - 02:30PM, Sampson Hoffland Laboratories, Room 132","An introduction to the biology and diversity of insects, particularly the life histories, form and function, ecology, and behavior of various insect groups found in various habitats. Students interested in developing field biology skills should take this course during their sophomore or junior year.","PBK,ENVMJ",BIO 251L,"BIO 151, 152."
98867,MATH-493-A,Senior Honors Project,0,,,8/31/16 0:00,12/15/16 0:00,P,,,"A year-long independent research project. Applications are completed on the ""Honors Program"" form available at the registrar's office, requiring the signatures of a faculty supervisor, the department head, the honors program director, and the registrar. Interdisciplinary projects require the signatures of two faculty supervisors. The project must be completed by the due date for senior projects. The completed project is evaluated by a review committeeconsisting of the faculty supervisor, another faculty member from the major department, and a faculty member from outside the major department. All projects must be presented publicly. Only projects awarded an ""A- or A"" qualify for ""department honors"" designation. The honors project fulfills the all-college senior project requirement.","HON,PBK",,
98967,MUS-230-A,Private Instruction-Violin,1,2,"V.Strauss,S.Martin,I.Kalnin",8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For music majors and minors in their second year of study.  Non-majors and music majors in their secondary areas may register for this course with consent of instructor.  Studio seminars may be required.  Prerequisite: music major or music minor with 2 semesters of 130 (Private Instruction).  Additional fees will be assessed for this course.,"PRIV,PBK,LES24",,
99531,PE-250-A,Coaching of Sports:Trck/Field,2,,J.Wettach,10/19/16 0:00,12/15/16 0:00,A,Second seven weeks,"10/19/2016-12/15/2016 Lecture - Second 7 Weeks Tuesday, Thursday 11:00AM - 12:30PM, Regents Center, Room 305","Theory and technique of coaching track and field. Taught in 2 credit hour units.  A maximum of 4 such credit hours may be counted toward the 128 required for graduation.  Some sports are offered alternate years.  For sophmores, juniors and seniors.",,,
99518,CLAS-240-A,Classical Mythology,4,,P.Freeman,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Olin, Room 102","A survey of the major myths and legends of ancient Greece and Rome by reading such authors as Homer, Hesiod, Aeschylus, Euripides, and Ovid. The course also addresses the problem of interpreting myths and, when possible, introduces parallels from non-Greco-Roman traditions.","HEPT,PBK",,
98498,ART-110-A,Handbuilding with Clay,4,,J.Madrigal,8/31/16 0:00,12/15/16 0:00,A,$125 Course Fee: covers clay and glazing material,"09/01/2016-12/08/2016 Lecture Tuesday, Thursday 12:45PM - 04:00PM, Center for the Arts, Room 130","This course is designed to introduce students to the basic techniques of handbuilding with clay.  There will be a minor introduction to the pottery-wheel as a tool for generating sculptural forms. Aspects of ceramic history and contemporary practices will also be explored.  Assignments will focus on sculptural design and explore a wide range of shaping, surface treatment and firing methods.",HE,,
98881,MGT-368-A,Electronic Commerce,4,,,8/31/16 0:00,12/15/16 0:00,P,Open to juniors and seniors.,,"Emerging online technologies have revolutionized the buying and selling of goods and services in the marketplace.  The course is designed to challenge students to explore the realities and implications of e-commerce from a manager's perspective.  This course does not assume the student has any previous electronic commerce management experience.  Topics include:  internet revenue models and their execution on the web, payment acceptance and security issues, designing electronic storefronts, planning for electronic commerce, and the legal and ethical challenges of electronic commerce.",,,Take Mgt-351
99449,CHIN-242-A,Chin Cinema & Chin Modern,4,,H.Yu,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Main, Room 113","From the fall of the Clestial Empire to the rise of China's economy today, Chinese cinema has witnessed many social changes in the modern era. This course will focus on the interaction between Chinese cinema and the process of modernization. By examining how Chinese films dialogue with Hollywood, it will explore Chinese people's experiences of semi-colonial modernity, socialist modernity and postsocialist/global modernity. Students will watch select films made in mainland China, Hong Kong and Taiwan.  Along with reading and writing assignments, students will be required to do oral presentations.  All films have English subtitles.  All readings are in English. Students with Chinese language background can choose to complete CHIN 242 with additional assignments in Chinese.","HEPT,INTCL,GL,PBK",,
98789,HIST-254-A,Russian History,4,,,8/31/16 0:00,12/15/16 0:00,P,,,"A general survey of Russian-Soviet history from the founding of Kievan Rus in 862 to the present day. Special emphasis given to the topic of empire, including interactions between people on the periphery and the core, the methods Russian/Soviet rulers used to expand and control territories and peoples, and how this changed over time. ","HB,INTCL,HIST,PBK",,
99480,RUS-350-A,"Top:Fever Dreams,Fant&Sci-Fi",4,,J.Conrad,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 214","Russian writer Fyodor Dostoevsky was an expert in dream states - he suffered from seizures and often experienced out-of-body and mystic states.  His work explores what it means to be caught between dreams and reality.  In this course, we will be reading one of Dostoevsky's novels, Crime and Punishment, and looking at Russian fiction, poems, and films in which writers create ""altered states"".  We will examine how these works turn our perception of what is ""normal"" upside down, in order to show us something about ourselves and our world.  Course is taught in English.  Students who have completed Russ 202 may register for Russ 350, in which extra coursework will be completed in Russian.","HEPT,W",,RUS 202
98876,MGT-352-A,Human Resource Management,4,,G.Patton,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Olin, Room 207","Principles involved in managing human resources to promote harmony and coordination within an organization. Consideration of such areas as employee recruitment, placement, development, performance evaluation, and compensation. This course includes writing instruction that partially fulfills the writing requirement. Requires junior standing.",,,
99477,MGT-352-B,Human Resource Management,4,,G.Patton,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Olin, Room 207","Principles involved in managing human resources to promote harmony and coordination within an organization. Consideration of such areas as employee recruitment, placement, development, performance evaluation, and compensation. This course includes writing instruction that partially fulfills the writing requirement. Requires junior standing.",,,
99283,PSYC-130-C,General Psychology,4,,D.Njus,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Valders, Room 350","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.","SS,PBK,HBSSM",,
99284,PSYC-130-D,General Psychology,4,,J.Sprung,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 08:00AM - 09:30AM, Valders, Room 345","An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses.","SS,PBK,HBSSM",,
99372,SPAN-303-A,Written Expression,4,,D.Thompson,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 02:30PM - 04:00PM, Main, Room 214",This is a course for students who have completed intermediate-level coursework in Spanish and who have a solid background in Spanish grammar. Focus on developing skills in writing and reading comprehension in a variety of cultural contexts. The course culminates in a research project.,PBK,,SPAN 201 or recommended placement.
99373,SPAN-303-B,Written Expression,4,,N.Gates Madsen,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Main, Room 217",This is a course for students who have completed intermediate-level coursework in Spanish and who have a solid background in Spanish grammar. Focus on developing skills in writing and reading comprehension in a variety of cultural contexts. The course culminates in a research project.,PBK,,SPAN 201 or recommended placement.
98952,MUS-130-P,Private Instruction-Voice,1,2,"H.Andereck,A.Whitfield",8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For all applied music students in their first year of study.  Non-majors and music majors in their secondary areas may repeat this course for credit in subsequent years.  Studio seminars may be required.  Additional fees will be assessed for this course.,"PRIV,PBK,LES16",,
98932,MUS-130-A,Private Instruction-Organ,1,2,"B.Schultz,G.Peterson",8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For all applied music students in their first year of study.  Non-majors and music majors in their secondary areas may repeat this course for credit in subsequent years.  Studio seminars may be required.  Additional fees will be assessed for this course.,"PRIV,PBK,LES17",,
98926,MUS-130-A,Private Instruction-Harp,1,2,R.Brandwein,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For all applied music students in their first year of study.  Non-majors and music majors in their secondary areas may repeat this course for credit in subsequent years.  Studio seminars may be required.  Additional fees will be assessed for this course.,"PRIV,PBK,LES11",,
99054,MUS-330-A,Private Instruction-Flute,1,2,"C.Hester,T.Meade",8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For music majors in their third year of study. Non-majors and music majors in their secondary areas may register for this course with consent of instructor.  Studio seminars may be required. Prerequisite:  music major or music minor with 2 semesters of 230 (Private Instruction). Additional fees will be assessed for this course.,"PRIV,PBK,LES8",,
98724,ENG-245-A,Literature By Women,4,,L.Kildegaard,8/31/16 0:00,12/15/16 0:00,A,,"09/01/2016-12/08/2016 Lecture Tuesday, Thursday 12:45PM - 02:15PM, Valders, Room 254","A study of how women writers from different historical periods use poems, stories, essays, and plays to address gender issues in the private and public world. The course looks at how literature both presents and critiques culture and its construction of gender, as well as how it offers new visions and choices for women and men. Readings include such writers as Mary Wollstonecraft, Charlotte Bronte, Emily Dickinson, Toni Morrison, Gloria Anzaldua, and Octavia Butler. (Same as WGST 245)","WGSMJ,HEPT,PBK",,PAID 111 or transfer equivalent
99085,MUS-430-A,Private Instruction-Saxophone,1,2,"M.Chesher,L.Postudensek Hart",8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Private Instruction Days to be Announced, Times to be AnnouncedArranged, Room ARR",For music majors in their fourth year of study. Non-majors and music majors in their secondary areas may register for this course with consent of instructor.  Additional fees will be assessed for this course.,"PRIV,PBK,LES6",,
98681,EDUC-255-A,Percussion Methods,2,,M.Geary,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday 12:45PM - 02:15PM, Jenson Noble Hall of Music, Room SPER","Methods and materials of teaching percussion instruments to elementary and secondary students. Includes knowledge of and proficiency with percussion instruments, pedagogy, materials, assessment and grading for individual and small group studio lessons. Required for instrumental music licensure.",,,
98615,CLAS-360-A,The World of St. Patrick,4,,,8/31/16 0:00,12/15/16 0:00,P,"Course can be applied toward the REL or  HEPT gen ed requirement, but not both.",,"This course explores the world of late antiquity through the life and times of a young Roman nobleman, later known as St. Patrick.  We will read the surviving letters of Patrick and other texts from the period to better understand life on the frontier of the Roman Empire in the fifth century.  Topics will include the evolution of northwest Europe from the classical to medieval period, Christianity in late antiquity and Celtic history, society and mythology. ","HEPT,HIST,REL,PBK,RP",,PAID 112 or equivalent.
98753,FREN-380-A,Internship,1,4,,8/31/16 0:00,12/15/16 0:00,P,,,Registration in a French-speaking internship is only by permission of the French section of the Modern Languages and Literatures department and the cooperating institution.,JT2,,FREN 202.
99225,PE-120-A,Athletic Part: Volleyball,0,,,8/31/16 0:00,12/15/16 0:00,P,,,,,,
99162,PAID-111D-06,Paideia I,4,,,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Discussion Monday, Wednesday, Friday 08:00AM - 09:00AM, Valders, Room 252","A two-semester common course for all first-year students that addresses questions central to the human condition.  It develops students' ability to read, write, analyze, discuss, and research by engaging with works from across the disciplines, drawn from different time periods and parts of the globe.  As a signature course and a foundation for liberal learning, ""Enduring Questions"" is taught by faculty from all divisions of the college. Students may not withdraw from PAID 111 or 112. If they fail the course, they must retake it in the next semester that it is offered.",PBK,,
99168,PAID-111D-12,Paideia I,4,,,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Discussion Monday, Wednesday, Friday 12:15PM - 01:15PM, Koren, Room 217","A two-semester common course for all first-year students that addresses questions central to the human condition.  It develops students' ability to read, write, analyze, discuss, and research by engaging with works from across the disciplines, drawn from different time periods and parts of the globe.  As a signature course and a foundation for liberal learning, ""Enduring Questions"" is taught by faculty from all divisions of the college. Students may not withdraw from PAID 111 or 112. If they fail the course, they must retake it in the next semester that it is offered.",PBK,,
99182,PAID-111D-26,Paideia I,4,,,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Discussion Monday, Wednesday, Friday 02:45PM - 03:45PM, Valders, Room 252","A two-semester common course for all first-year students that addresses questions central to the human condition.  It develops students' ability to read, write, analyze, discuss, and research by engaging with works from across the disciplines, drawn from different time periods and parts of the globe.  As a signature course and a foundation for liberal learning, ""Enduring Questions"" is taught by faculty from all divisions of the college. Students may not withdraw from PAID 111 or 112. If they fail the course, they must retake it in the next semester that it is offered.",PBK,,
99185,PAID-111D-29,Paideia I,4,,,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Discussion Monday, Wednesday, Friday 02:45PM - 03:45PM, Valders, Room 349","A two-semester common course for all first-year students that addresses questions central to the human condition.  It develops students' ability to read, write, analyze, discuss, and research by engaging with works from across the disciplines, drawn from different time periods and parts of the globe.  As a signature course and a foundation for liberal learning, ""Enduring Questions"" is taught by faculty from all divisions of the college. Students may not withdraw from PAID 111 or 112. If they fail the course, they must retake it in the next semester that it is offered.",PBK,,
99134,NURS-376-A,Behavioral Health Care Clin,2,,M.Overvold-Ronningen,8/31/16 0:00,12/15/16 0:00,A,Meets in Rochester,"08/31/2016-12/15/2016 Practicum or Clinicals Days to be Announced, Times to be AnnouncedRochester, Room ROCH",Application of theories and concepts related to the care of psychiatric clients.  Emphasis on knowledge of nursing and pharmacological management as well as advanced communication skills provide the basis of the clinical experiences in psychiatric nursing necessary for preparation as a beginning practitioner.,,,"Prerequisites: Nurs 234, 235, 236, 237, Bio 115, 116, 152, and 243; Hlth 125,Psyc 130 and 240; Sci 240 and 250. Co-requisite: Nurs 375"
98699,EDUC-371L-A,El Gen Music Methods Lab,0,,"L.Martin,J.Wilson",8/31/16 0:00,12/15/16 0:00,A,Off-campus location.,"08/31/2016-12/15/2016 Lab Tuesday 12:45PM - 02:15PM, Arranged, Room ARR",,,Take Educ-371.,
99331,REL-265-A,Religious Narratives in Japan,4,,,8/31/16 0:00,12/15/16 0:00,P,"Religious Narratives in Japan: Demon, Sex, and Martial Arts. Course can only fulfill either REL or HEPT gen ed req, not both.",,"This course examines religious themes in and the religious function of various narrative forms in Japan. The narratives studied in this course assume a spiritual topography that includes demons, ghosts, and gods, probe the gender and sexual identities of their characters, and introduce self-cultivation techniques such as martial arts. In particular, this course will focus on two traditional, narrative forms, Kabuki and No, and two contemporary ones, Manga and Anime. Some Kabuki and No plays function as religious ritual, while some Manga and Anime consciously reflect on moral attitudes and religious beliefs. These forms are also the product of various interactions among Japanese, Chinese, and American cultures. Analyzing these four kinds of cultural and religious expressions, the course examines the role of religious ritual and sacred texts in premodern as well as contemporary Japan. The course introduces students to religious studies methodology, critical theory (including gender and queer studies), and intercultural analysis. It will also deepen the skills in textual and literary criticism introduced in the courses fulfilling the Bible requirement. This course exposes students equally to the study of Japanese culture and the religious phenomenon. ","HEPT,INTCL,REL,PBK",,Take Rel-101 Rel-111 or Rel-112
98508,ART-239-A,ST:Art and Community,2,,L.Lovelace,10/19/16 0:00,12/15/16 0:00,A,Second seven weeks course. Sophomore standing or consent of instructor. Highly recommended for students contemplating an art education minor. Course fee $50.00 for materials.,"10/19/2016-12/09/2016 Lecture - Second 7 Weeks Monday, Wednesday, Friday 11:00AM - 12:00PM, Center for the Arts, Room 215","This seven-week course is designed to introduce students to the dynamic and rapidly changing field of art education, this course will familiarize students with current art education terminology and trends, explore various activities, materials, units, teaching techniques, and methods of art instruction. Practical teaching experiences are included with an emphasis on engaging learners of diverse populations and implementing social justice based curriculum. Required for students seeking K-12 art teaching certification, although open to everyone, this course provides students with a strong foundation in art education content, basic art concepts and methods with an emphasis on developmentally appropriate art education in both public school and community-based settings. ",,,
98879,MGT-360-A,International Business Mgt,4,,T.Mutsune,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Tuesday, Thursday 11:00AM - 12:30PM, Olin, Room 208","This course seeks to acquaint the student with the theories, environmental factors, procedures, and terminology that combine to make international business management more challenging than its domestic counterpart.  Topics covered include theories of trade, modes of entry into foreign markets, international organizations, export procedures, foreign currency exchange, the international monetary system and the effects of culture, politics, laws, and geography on cross border transactions. Requires junior standing.","INTCL,GL,PBK",,
98909,MUS-121-E,Theory I,3,,,8/31/16 0:00,12/15/16 0:00,A,See note under Mus 121-A.,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 08:00AM - 09:00AM, Olin, Room B1","An intensive study of music fundamentals and materials followed by an introduction to part writing in two voices (counterpoint).  Activities include written exercises, keyboard exercises, composition exercises, and the analysis of musical examples. Music 131 is the honors section of Theory 1.","HE,FA,PBK",,
99344,SCST-101-A,Elementary Norwegian I,4,,K.Gronningsaeter,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 11:00AM - 12:00PM, Larsen, Room 120","Speaking Norwegian from the first day of class, students learn to apply a practical knowledge, first to their own situation in this country and subsequently to selected aspects of Norwegian culture ranging from everyday customs and manners, travel and shopping, to history, the arts, and education.",PBK,,
99420,MATH-339-A,Game Theory and Applications,4,,M.Johnson,8/31/16 0:00,12/15/16 0:00,A,,"08/31/2016-12/15/2016 Lecture Monday, Wednesday, Friday 12:15PM - 01:15PM, Olin, Room 108","Ever wonder why people make the decisions they do? In this upper division course on Game Theory, we will investigate the interactions of decision-makers from a mathematical perspective, using mathematical models called games.  Topics will include the theory of rational choice, payoff functions, strategic games, Nash equilibrium, dominated actions, mixed strategies, and extensive games.  We will also look at applications of game theory to economics, evolutionary stability, voting theory, auction theory, and others.","HBSSM,QUANT",,MATH 253.
